state_id,state_name,avg_risk,median_risk,max_risk,lga_count,total_population,high_risk_lga_count
abia,Abia,3.163839883172501,3.17105357778503,4.43205462522483,34,8541534.0,0
adamawa,Adamawa,4.037378214751408,4.0513610335412515,5.728157542101928,42,9445198.0,0
akwa_ibom,Akwa Ibom,4.148780596967551,4.0591813382763995,5.999620277194185,62,12548894.0,0
anambra,Anambra,3.2819616265586404,3.1002903926453445,6.2705472626758105,42,12436248.0,0
bauchi,Bauchi,4.835754675176937,4.780720378484707,6.976206279758048,40,14627772.0,0
bayelsa,Bayelsa,4.41217304789777,4.361362189349402,5.485095199971699,16,5342908.0,0
benue,Benue,3.259275556734262,3.2134388229343656,4.734966743482167,46,12851892.0,0
borno,Borno,5.266677367483676,5.504843080861567,7.069799486204897,54,13076662.0,1
cross_river,Cross River,3.427143587847548,3.2047548946349798,6.229646873571859,36,8622146.0,0
delta,Delta,4.131331183674874,4.039704347228506,6.773705320783101,50,12878706.0,0
ebonyi,Ebonyi,3.3510627823401156,3.323290645044386,4.761009774185142,26,6491950.0,0
edo,Edo,3.884434964037383,3.7573546792620345,5.960924494687896,36,9508036.0,0
ekiti,Ekiti,4.029416650941453,4.001933281503947,5.629046559855943,32,7282844.0,0
enugu,Enugu,3.6789634636343087,3.51743766876457,5.188948542626672,34,9750538.0,0
fct,Fct,4.111258758411634,3.9886137198774483,4.721478238193794,12,9838178.0,0
gombe,Gombe,4.639315519714872,4.516240151014923,5.994601283767318,22,7524796.0,0
imo,Imo,3.6765586543989746,3.7902895034497113,5.636894501541157,54,12333116.0,0
jigawa,Jigawa,5.069014406211444,5.075351302899631,6.179558089480781,54,13013766.0,0
kaduna,Kaduna,4.6837601246915455,4.565810006128988,6.440106990895013,46,18674530.0,0
kano,Kano,4.6568155853965205,4.601114898774663,6.390083661731617,88,30149790.0,0
katsina,Katsina,4.049909982643041,4.108446689927558,5.611487993865384,68,17600544.0,0
kebbi,Kebbi,4.912720362718327,4.904872804881203,7.672327459969008,42,10034476.0,1
kogi,Kogi,3.938150308982048,3.806951370051304,6.644835582671383,42,10067700.0,0
kwara,Kwara,3.814651391555496,3.8201465586808956,5.5557232190729335,32,7168270.0,0
lagos,Lagos,3.5379831554075167,3.5545868957917666,5.519274448818832,40,29102124.0,0
nasarawa,Nasarawa,3.709053454661432,3.721315493894251,5.132178387705353,26,5600964.0,0
niger,Niger,3.7235882518121612,3.6798330135266104,5.604778152910763,50,12636608.0,0
ogun,Ogun,3.141174720426928,3.1759461703423377,5.00398246872914,40,11880430.0,0
ondo,Ondo,4.002267941515726,4.0851490458789215,5.542549674390083,36,10496230.0,0
osun,Osun,3.0323146734414905,2.9930682629868435,4.803089653099904,60,10763306.0,0
oyo,Oyo,3.8870484932511484,3.9048250973603142,5.989275329016429,66,17904010.0,0
plateau,Plateau,3.696717597140293,3.4881561496314335,6.092040622654209,34,9607290.0,0
rivers,Rivers,4.3007294497199355,4.1500332775082285,6.321809112492897,46,16365530.0,0
sokoto,Sokoto,5.290387851062926,5.4161667952990165,7.835017609450058,46,11361324.0,1
taraba,Taraba,4.012110668487935,3.974287118938322,6.1217756399952,32,6815358.0,0
yobe,Yobe,5.245446825090163,5.194153579863748,7.094571470652204,34,7507152.0,3
zamfara,Zamfara,5.414520453306163,5.5015719254016595,7.211129721478302,28,10016458.0,1
